,Type,Avg BertScore,Std Bert,Max Bert,CQ Max Bert,Min Bert,CQ Min Bert,Bert Quartiles,Avg Meteor,Max Meteor,Min Meteor,Std Meteor,CQ Max Meteor,CQ Min Meteor,Meteor Quartiles,Avg chrF,Max chrF,Min chrF,Std chrF,CQ Max chrF,CQ Min chrF,chrF Quartiles,Avg Rouge F1,Rouge std F1,Max Rouge F1,CQ Max Rouge F1,Min Rouge F1,Worst CQ F1,Rouge Quartiles F1,Num Templates,Avg Bert F1,Std Bert F1,Max Bert F1,Sum Metrics
0,Few Shot Good and Bad flan-base 1,"(0.4903469, 0.55403674, 0.5185546)","(0.09981735, 0.092006, 0.09147111)","(0.8141, 0.7561, 0.784)","('What are the characteristics of a sport?', 'What is the relation between a team and a sport?')","(0.2342, 0.2425, 0.2383)","('What is the first name of the athlete that makes up the majority of the team?', '-')","(0.4309111163020134, 0.5040117353200912, 0.46321962773799896, 0.48338134586811066, 0.563482254743576, 0.5219288468360901, 0.542849525809288, 0.6091631352901459, 0.46321962773799896)",0.187558249119236,0.2836206297338806,0.0696501116888971,0.0740985247754889,What is the first name of the athlete that makes up the majority of the team?,Are there any other examples of good or bad competency questions?,"(0.120781063757706, 0.20256235821336535, 0.25060363573697503)",32.47840870766507,48.34481811935517,21.185656266417443,7.721876990297464,What is the first name of the athlete that makes up the majority of the team?,Which songs are not derived from the same astronomical origin?,"(28.68942427134964, 31.83059913738207, 35.81097365089209)",0.232566844919786,0.1582946524978487,0.5333333333333333,"(""What is the origin of the term 'water'?"", 'What is the authority of a team?')",0.0,"('Are there any other examples of good or bad competency questions?', 'Where is a team located?')","(0.11363636, 0.28333333, 0.3)",1,0.5185546,0.09147111,0.784,8.242314426229216
1,Few Shot Good and Bad flan-base 10,"(0.51700354, 0.57456744, 0.54272825)","(0.10715831, 0.12105746, 0.10983268)","(0.7945, 0.863, 0.8273)","('What is the relationship between a person and the number of men?', 'What is the relation between a person and a season?')","(0.2373, 0.2277, 0.2324)","('What is the most accurate way to measure the ability of a team to beat the opponent?', '-')","(0.47309184074401855, 0.522399827837944, 0.5060669183731079, 0.5212338268756866, 0.5826424956321716, 0.549886554479599, 0.5722964555025101, 0.6403200030326843, 0.5970183610916138)",0.2564587524745742,0.3628880815213122,0.0824263703582098,0.0936686027077914,What is the most accurate way to measure the ability of a team to beat the opponent?,Are the following questions good or bad:?,"(0.18476095797884023, 0.2540505353517094, 0.3539343194240189)",39.874456688032815,73.65375249152915,20.55719429779714,14.70055594374736,What is the relationship between a person and the number of men?,Are the following questions good or bad:?,"(31.930884312162448, 38.666447688321924, 46.66074241071511)",0.285362869508111,0.0799116119706007,0.3999999999999999,"('What is the name of the sport a player plays in?', 'What is a person?')",0.1176470588235294,"('Are the following questions good or bad:?', 'What is the relation between a person and a team?')","(0.23897059, 0.3030303, 0.3442029)",10,0.54272825,0.10983268,0.8273,7.706471176749121
2,Few Shot Good and Bad flan-base 15,"(0.4862524, 0.556971, 0.51766324)","(0.08635195, 0.09126029, 0.08347303)","(0.7228, 0.8386, 0.7764)","('What is a competency question?', 'What is a code?')","(0.2423, 0.2695, 0.2552)","('What is a competency question?', '-')","(0.4402228742837906, 0.50086909532547, 0.47052212059497833, 0.47660183906555176, 0.5498026609420776, 0.5080004930496216, 0.519871175289154, 0.6086695194244385, 0.47052212059497833)",0.1922738932458897,0.4108462885919958,0.05736617704021,0.1045968406439641,1. What is the difference between a song and a song?,Question: How can I find materials connected to my interests?,"(0.12184263601984291, 0.17133226610067206, 0.227528161754061)",32.579997808102085,54.30876170724525,16.422493410282414,13.341891602757457,What is a competency question?,1. How do we get rid of the tits of football?,"(21.32365694277099, 25.83596783255676, 46.327775408551084)",0.1834824434824435,0.0994935797328818,0.380952380952381,"('What are some of the reasons that a collection is incomplete?', 'What is the relation between an organization and a team?')",0.0,"('What does the Y mean in the word ""fun""?', 'Where is a team located?')","(0.13571429, 0.1952381, 0.2)",15,0.51766324,0.08347303,0.7764,8.064220210720558
3,Few Shot Good and Bad flan-base 20,"(0.47829163, 0.5325427, 0.5014548)","(0.08965887, 0.10799271, 0.09134005)","(0.6747, 0.7103, 0.692)","('What is a common trait of sports players?', 'What is the nickname of a team?')","(0.1853, 0.2344, 0.207)","('What kind of sports would you most likely be playing?', '-')","(0.42049258947372437, 0.47499480098485947, 0.456959031522274, 0.4764697551727295, 0.5452840626239777, 0.507992297410965, 0.5315472781658173, 0.6162476092576981, 0.456959031522274)",0.2056070474158974,0.3557507990465405,0.0716048637064471,0.1057128643450518,What is the most significant thing that a player can do while playing a sport?,Did you mention your name?,"(0.12586692865075094, 0.14516551105481423, 0.3187754590169991)",31.906414130752285,48.49177621622102,20.653070178254072,7.57427541585764,What is a common trait of sports players?,What are the issues with this problem?,"(27.616532949406768, 31.174061289776947, 34.83746293305824)",0.2144150818222026,0.1791879466014899,0.5,"('What is a common trait of sports players?', 'What is a name?')",0.0,"('How many people did you have to answer the competency questions for in a basketball game?', 'What is an organization an authority of?')","(0.02941176, 0.20535714, 0.37894737)",20,0.5014548,0.09134005,0.692,7.477059676626169
4,Few Shot Good and Bad flan-base 25,"(0.4754255, 0.52127045, 0.49617475)","(0.063612685, 0.06997461, 0.062326245)","(0.6074, 0.7127, 0.6558)","('Which is the name of the sport in which you play?', 'What is the nickname of a team?')","(0.2326, 0.2606, 0.2458)","('Which is the name of the sport in which you play?', '-')","(0.4396374225616455, 0.4893161654472351, 0.46370988339185715, 0.48071451485157013, 0.5250869393348694, 0.4980493038892746, 0.5180192738771439, 0.560976579785347, 0.46370988339185715)",0.1265392984705619,0.286558014588458,0.0607972678371265,0.0740124069530034,What is the earliest known form of art?,Question: Which are all organs with manual range starting lower than X?,"(0.06220547492189547, 0.10318265134572702, 0.1558860326850704)",28.44227075570165,39.80594728024931,23.138966056046502,6.350514561775837,1. What sport does the X sport?,Question: Which are all organs with manual range starting lower than X?,"(23.372397020291167, 24.81420082282823, 32.691110562736725)",0.2212722246793454,0.1389498253342147,0.5333333333333333,"('What is a good example of an issue?', 'What is the authority of a team?')",0.0,"(""Which team did you play in the 2017 NCAA Men's basketball tournament?"", 'What is a person?')","(0.13541667, 0.19047619, 0.29684211)",25,0.49617475,0.062326245,0.6558,9.715419233371032
5,Few Shot Good and Bad flan-base 5,"(0.51643026, 0.55406594, 0.5330223)","(0.08913267, 0.089994706, 0.08428221)","(0.7371, 0.8334, 0.7823)","('What is the first name of a sport that is a sport?', 'What is the short name of a team?')","(0.2058, 0.2485, 0.2252)","('What kind of games does the player who holds the most weight lose?', '-')","(0.4693177714943886, 0.5101159960031509, 0.48930006474256516, 0.5184973478317261, 0.5551256239414215, 0.532745361328125, 0.5673727691173553, 0.6069582104682922, 0.48930006474256516)",0.1746981558958805,0.3317693071948058,0.1063467245476199,0.0749528981329152,What is a good example of a competency question?,How do people define team?,"(0.12747657695289522, 0.14023849442506428, 0.18135832030158489)",30.51862235737405,51.83649922358234,21.74753374606663,8.865169869001337,What is the first name of a sport that is a sport?,Are the acoustic characteristics of the music a logical idea?,"(24.237949765372733, 27.6827333433055, 32.69159874627916)",0.2132673727238944,0.1278019823178267,0.4615384615384615,"('What is a good example of a competency question?', 'What is a name?')",0.1111111111111111,"('Which sport has a higher population per hectare?', 'What is the relation between an organization and a team?')","(0.12708333, 0.13333333, 0.32472826)",5,0.5330223,0.08428221,0.7823,8.689454167573041
6,Few Shot Good and Bad flan-large 1,"(0.49431825, 0.5656441, 0.52626103)","(0.07980348, 0.093337096, 0.08171231)","(0.6813, 0.7881, 0.7308)","('What is the difference between an Olympic silver medal and a World Cup medal?', 'What is the relation between a team and a award?')","(0.2234, 0.1953, 0.2084)","('Which sports have the most physical demands on athletes?', '-')","(0.4566214233636856, 0.5179775506258011, 0.48628998547792435, 0.4982512295246124, 0.570099949836731, 0.5326122641563416, 0.5456938594579697, 0.6182695478200912, 0.48628998547792435)",0.2388029539942039,0.3752965960966709,0.0914812593440875,0.1060100234442841,What is the difference between an Olympic silver medal and a World Cup medal?,Which sports have the most physical demands on athletes?,"(0.1382485043906931, 0.2476255756705768, 0.3404813073971744)",35.53128492878286,48.49924702941,23.27944432187918,7.151663270894518,What is a common theme in the sports world?,What can you use as an example to determine what you are good at?,"(30.544315273344317, 35.82110041194462, 40.04005104679416)",0.2549480129060153,0.1750016225007397,0.5333333333333333,"('What is a common theme in the sports world?', 'What is located in a city?')",0.0,"('What are two sports that use more water than land?', 'Where is a team located?')","(0.17045455, 0.22134387, 0.39912281)",1,0.52626103,0.08171231,0.7308,8.74274067053955
7,Few Shot Good and Bad flan-large 10,"(0.49699807, 0.5726782, 0.5302927)","(0.09069358, 0.09221592, 0.08644943)","(0.7909, 0.7909, 0.7909)","('What is the role of a player in a sport?', 'What is the relation between a team and a sport?')","(0.2234, 0.2157, 0.2195)","('Which sport has the highest probability of winning a world championship?', '-')","(0.45480820536613464, 0.5353816151618958, 0.49901705980300903, 0.4947052150964737, 0.5786509811878204, 0.5285485088825226, 0.537114679813385, 0.6212280988693237, 0.49901705980300903)",0.2199119770862727,0.4088708413632532,0.0932799649546233,0.0988503976230313,What is the role of a player in a sport?,Which sport does the ontology belong to?,"(0.14307049830272517, 0.21544383893009664, 0.2721831307307735)",35.961886648807045,44.99123498904532,26.50438224555444,6.013477067460159,What is the name of the sport in the sport ontology?,How are the names of sports on the sport ontology different than the names of sports on the human body?,"(32.25347505702157, 36.72236597125397, 40.30615592100938)",0.1991373040444247,0.1435542016748111,0.5,"('What is the role of a player in a sport?', 'What is the relation between a team and a city?')",0.0,"('How are the names of sports on the sport ontology different than the names of sports on the human body?', 'What is located in a city?')","(0.12156863, 0.19444444, 0.27678571)",10,0.5302927,0.08644943,0.7909,8.418634678834813
8,Few Shot Good and Bad flan-large 15,"(0.48520592, 0.53872174, 0.50895774)","(0.06983268, 0.0801113, 0.06881571)","(0.642, 0.7199, 0.6787)","('Which sport does a sports ontology cover?', 'What sport did a team play?')","(0.2388, 0.1971, 0.2159)","('Which type of sport are the most prestigious?', '-')","(0.45827731490135193, 0.5152828991413116, 0.48720594495534897, 0.49195194244384766, 0.5487350225448608, 0.5200364589691162, 0.52666836977005, 0.5788916200399399, 0.48720594495534897)",0.1674525881904797,0.286558014588458,0.0996810423581133,0.0613410266240295,What is the main purpose of this task?,Which type of sport are the most prestigious?,"(0.12560437791598605, 0.14005951363670005, 0.1991615681884678)",31.012176611484666,42.04923895396265,21.709202873687044,6.966856776469004,Which sport does a sports ontology cover?,Which type of sport are the most prestigious?,"(24.847365577823282, 29.552643102606837, 37.89094813135111)",0.1635321051497522,0.1151570094596337,0.375,"('What are some good examples of a sports ontology?', 'What is the authority of a team?')",0.0,"('Which sports are ranked in the top five?', 'What is an organization an authority of?')","(0.10441176, 0.13809524, 0.24519231)",15,0.50895774,0.06881571,0.6787,10.17032945126819
9,Few Shot Good and Bad flan-large 20,"(0.5204296, 0.57224536, 0.5435663)","(0.114721134, 0.103287965, 0.105845645)","(0.9151, 0.916, 0.9155)","('What is the relationship between a sport and a player?', 'What is the relation between a team and a sport?')","(0.2021, 0.2324, 0.2162)","('How many sports have similarities to each other?', '-')","(0.4581594094634056, 0.5272044837474823, 0.49553412199020386, 0.5080558061599731, 0.5660350918769836, 0.5284894406795502, 0.5655404329299927, 0.6176618784666061, 0.49553412199020386)",0.2044935556592617,0.4291992358338758,0.0704449034426858,0.1074800728616045,What is the relationship between a sport and a player?,How many sports have similarities to each other?,"(0.13491137412515117, 0.1628254351538969, 0.22406346443291436)",32.221824638106334,66.92894413070293,22.539174019656745,12.1239693393005,What is the relationship between a sport and a player?,What are the main fields of study for this ontology?,"(26.338511790404127, 28.571507775216734, 31.547074376709308)",0.217538543328017,0.110406677157231,0.4000000000000001,"('What is the most important element of a sports ontology?', 'What is the relation between a team and a city?')",0.0,"('How many sports have similarities to each other?', 'Who is a member of the crew of a team?')","(0.17045455, 0.2, 0.30350877)",20,0.5435663,0.105845645,0.9155,7.064657395444024
